Date,Series_Complete_Cumulative,Series_Complete_Daily
07/31/2021,171307489,182300
07/31/2022,224439379,10209
08/01/2021,171409424,101935
08/01/2022,224470587,31208
08/02/2021,171649401,239977
08/02/2022,224507609,37022
08/03/2021,171905088,255687
08/03/2022,224544089,36480
08/04/2021,172162718,257630
08/04/2022,224579700,35611
08/05/2021,172429431,266713
08/05/2022,224620013,40313
08/06/2021,172743457,314026
08/06/2022,224642472,22459
08/07/2021,172934988,191531
08/07/2022,224655055,12583
08/08/2021,173053736,118748
08/08/2022,224687764,32709
08/09/2021,173342789,289053
08/09/2022,224722493,34729
08/10/2021,173640502,297713
08/10/2022,224755137,32644
08/11/2021,173938567,298065
08/11/2022,224788687,33550
08/12/2021,174255060,316493
08/12/2022,224827090,38403
08/13/2021,174646680,391620
08/13/2022,224846383,19293
08/14/2021,174891128,244448
08/14/2022,224855433,9050
08/15/2021,175053978,162850
08/15/2022,224886275,30842
08/16/2021,175410225,356247
08/16/2022,224918360,32085
08/17/2021,175776168,365943
08/17/2022,224950072,31712
08/18/2021,176157585,381417
08/18/2022,224981212,31140
08/19/2021,176541112,383527
08/19/2022,225017788,36576
08/20/2021,177022713,481601
08/20/2022,225033827,16039
08/21/2021,177323091,300378
08/21/2022,225041495,7668
08/22/2021,177504482,181391
08/22/2022,225068705,27210
08/23/2021,177912804,408322
08/23/2022,225098117,29412
08/24/2021,178330749,417945
08/24/2022,225127585,29468
08/25/2021,178756610,425861
08/25/2022,225156904,29319
08/26/2021,179192600,435990
08/26/2022,225189492,32588
08/27/2021,179736592,543992
08/27/2022,225204939,15447
08/28/2021,180081187,344595
08/28/2022,225212203,7264
08/29/2021,180288967,207780
08/29/2022,225237051,24848
08/30/2021,180727413,438446
08/30/2022,225262803,25752
08/31/2021,181157998,430585
08/31/2022,225287976,25173
09/01/2021,181571499,413501
09/01/2022,225309064,21088
09/02/2021,181975901,404402
09/02/2022,225332641,23577
09/03/2021,182468338,492437
09/03/2022,225343352,10711
09/04/2021,182747117,278779
09/04/2022,225349696,6344
09/05/2021,182921411,174294
09/05/2022,225351785,2089
09/06/2021,183008689,87278
09/06/2022,225381078,29293
09/07/2021,183493518,484829
09/07/2022,225422965,41887
09/08/2021,183900013,406495
09/08/2022,225466224,43259
09/09/2021,184302325,402312
09/09/2022,225521944,55720
09/10/2021,184807143,504818
09/10/2022,225555658,33714
09/11/2021,185111791,304648
09/11/2022,225574327,18669
09/12/2021,185287936,176145
09/12/2022,225622830,48503
09/13/2021,185674894,386958
09/13/2022,225670209,47379
09/14/2021,186056489,381595
09/14/2022,225720892,50683
09/15/2021,186449543,393054
09/15/2022,225772692,51800
09/16/2021,186845153,395610
09/16/2022,225836161,63469
09/17/2021,187329087,483934
09/17/2022,225866963,30802
09/18/2021,187606732,277645
09/18/2022,225883830,16867
09/19/2021,187775224,168492
09/19/2022,225934683,50853
09/20/2021,188135176,359952
09/20/2022,225987030,52347
09/21/2021,188483482,348306
09/21/2022,226043664,56634
09/22/2021,188822202,338720
09/22/2022,226100107,56443
09/23/2021,189153317,331115
09/23/2022,226167891,67784
09/24/2021,189568675,415358
09/24/2022,226201334,33443
09/25/2021,189799222,230547
09/25/2022,226218677,17343
09/26/2021,189946325,147103
09/26/2022,226271810,53133
09/27/2021,190170548,224223
09/27/2022,226325990,54180
09/28/2021,190476943,306395
09/28/2022,226383400,57410
09/29/2021,190790886,313943
09/29/2022,226440674,57274
09/30/2021,191115499,324613
09/30/2022,226506045,65371
10/01/2021,191501793,386294
10/01/2022,226535283,29238
10/02/2021,191711388,209595
10/02/2022,226551881,16598
10/03/2021,191843635,132247
10/03/2022,226604595,52714
10/04/2021,192103509,259874
10/04/2022,226658744,54149
10/05/2021,192363395,259886
10/05/2022,226717012,58268
10/06/2021,192625763,262368
10/06/2022,226774160,57148
10/07/2021,192888722,262959
10/07/2022,226840259,66099
10/08/2021,193206448,317726
10/08/2022,226870720,30461
10/09/2021,193376260,169812
10/09/2022,226887995,17275
10/10/2021,193482792,106532
10/10/2022,226942051,54056
10/11/2021,193706298,223506
10/11/2022,226997123,55072
10/12/2021,193943803,237505
10/12/2022,227056867,59744
10/13/2021,194176434,232631
10/13/2022,227113758,56891
10/14/2021,194408838,232404
10/14/2022,227179340,65582
10/15/2021,194691043,282205
10/15/2022,227208166,28826
10/16/2021,194838483,147440
10/16/2022,227224763,16597
10/17/2021,194924200,85717
10/17/2022,227279902,55139
10/18/2021,195138416,214216
10/18/2022,227334379,54477
10/19/2021,195333893,195477
10/19/2022,227392374,57995
10/20/2021,195531314,197421
10/20/2022,227448454,56080
10/21/2021,195731577,200263
10/21/2022,227511293,62839
10/22/2021,195979799,248222
10/22/2022,227539486,28193
10/23/2021,196113930,134131
10/23/2022,227555255,15769
10/24/2021,196194757,80827
10/24/2022,227609011,53756
10/25/2021,196399797,205040
10/25/2022,227663817,54806
10/26/2021,196602665,202868
10/26/2022,227723399,59582
10/27/2021,196811325,208660
10/27/2022,227779087,55688
10/28/2021,197022592,211267
10/28/2022,227841296,62209
10/29/2021,197263230,240638
10/29/2022,227867880,26584
10/30/2021,197382909,119679
10/30/2022,227882024,14144
10/31/2021,197453679,70770
10/31/2022,227924209,42185
11/01/2021,197651775,198096
11/01/2022,227970319,46110
11/02/2021,197841159,189384
11/02/2022,228018886,48567
11/03/2021,198035339,194180
11/03/2022,228067168,48282
11/04/2021,198232223,196884
11/04/2022,228124499,57331
11/05/2021,198464240,232017
11/05/2022,228150055,25556
11/06/2021,198585019,120779
11/06/2022,228164045,13990
11/07/2021,198657527,72508
11/07/2022,228207144,43099
11/08/2021,198832488,174961
11/08/2022,228249403,42259
11/09/2021,198999515,167027
11/09/2022,228292333,42930
11/10/2021,199171275,171760
11/10/2022,228335212,42879
11/11/2021,199324778,153503
